Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771
AFE,2.70E+11,2.68E+11,2.82E+11,2.66E+11,2.62E+11,2.84E+11,2.59E+11,2.65E+11,3.53E+11,4.39E+11,5.12E+11,5.76E+11,6.61E+11,7.08E+11,7.19E+11,8.60E+11,9.64E+11,9.72E+11,9.83E+11,1.00E+12,9.23E+11,8.90E+11,1.03E+12
AFG,,,,,,,,3854235264,4539500884,5220823685,6226199249,6971379033,9715761650,10249767311,12154835708,15633856787,18190410821,20203572960,20564485419,20550582747,19998156214,18019558182,18896352022
AFW,1.08E+11,1.26E+11,1.27E+11,1.30E+11,1.38E+11,1.40E+11,1.47E+11,1.77E+11,2.04E+11,2.53E+11,3.10E+11,3.96E+11,4.64E+11,5.66E+11,5.07E+11,5.97E+11,6.80E+11,7.36E+11,8.32E+11,8.92E+11,7.67E+11,6.91E+11,6.84E+11
AGO,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,15285594828,17812704825,23552047248,36970918699,52381006892,65266452081,88538610805,70307166934,81699526881,1.09E+11,1.25E+11,1.33E+11,1.37E+11,87219300385,49840491178,68972769396
ALB,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337
AND,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750
ARB,5.56E+11,6.14E+11,6.62E+11,6.44E+11,7.13E+11,8.16E+11,7.99E+11,8.03E+11,8.88E+11,1.06E+12,1.30E+12,1.54E+12,1.79E+12,2.25E+12,1.98E+12,2.33E+12,2.54E+12,2.79E+12,2.84E+12,2.90E+12,2.54E+12,2.52E+12,2.60E+12
ARE,65743666576,73571233996,78839008445,75674336283,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11
ARG,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11
ARM,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566
ASM,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000
ATG,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778
